dish_id,gt_kcal,n_ingr,ingredients,gpt-4.1-mini,gpt-4.1,gpt-4o,claude-sonnet-4-6,claude-haiku-4-5,gemini-2.5-pro,gemini-2.5-flash,avg_pct
dish_1558459664,383.1,5,"white rice, almonds, spinach (raw), cherry tomatoes, grapes",4.4,16.5,16.5,12.3,35.8,12.3,69.7,23.9
dish_1565894858,132.8,1,cookies,9.7,9.7,12.9,38.3,84.4,5.9,5.4,23.8
dish_1561405389,266.0,18,"white rice, chickpeas, soy sauce, arugula, ginger",17.3,17.3,17.3,35.3,7.1,29.7,42.9,23.8
dish_1564691450,542.3,17,"millet, corn on the cob, green beans, vinegar, steak",35.5,37.3,35.5,22.6,22.6,10.6,1.4,23.6
dish_1564777960,331.0,10,"spinach (cooked), cheese pizza, shallots, onions, salt",20.8,11.8,3.3,57.1,26.0,10.3,35.9,23.6
dish_1568405273,386.2,18,"tomatoes, salmon, vinegar, cucumbers, kale",43.0,45.6,43.0,12.0,17.1,1.6,1.6,23.4
dish_1558109864,213.9,1,almonds,18.7,32.2,19.1,18.7,23.0,32.2,19.6,23.4
dish_1562784266,131.8,2,"corn on the cob, pizza",9.0,16.5,13.8,47.9,36.6,2.4,36.6,23.3
dish_1561751958,381.2,8,"arugula, brown rice, squash, salmon, pepper",16.1,42.3,,36.4,27.2,16.7,0.3,23.2
dish_1558725621,349.2,3,"brussels sprouts, almonds, cauliflower",19.8,39.9,28.4,8.4,4.5,18.4,43.2,23.2
dish_1562872223,306.9,16,"chicken, garlic, rosemary, wheat berry, squash",8.8,12.0,18.5,23.8,7.1,35.2,56.4,23.1
dish_1558637932,248.3,4,"corn on the cob, apple, cauliflower, grapes",43.6,31.5,27.5,20.3,20.3,13.4,4.7,23.0
dish_1561575274,305.2,9,"olive oil, onions, salt, shallots, spinach (cooked)",4.9,11.4,14.7,70.4,37.6,6.5,14.7,22.9
dish_1566329049,814.9,20,"bell peppers, cauliflower, beef, jalapenos, spinach (raw)",23.9,30.1,20.2,16.6,41.1,11.6,16.6,22.9
dish_1559239369,130.9,3,"berries, spinach (raw), orange",31.3,42.7,16.0,9.9,10.8,12.2,37.5,22.9
dish_1561060642,468.4,26,"jalapenos, brown rice, salt, bok choy, lemon juice",3.9,10.3,3.9,11.0,23.8,46.2,60.1,22.7
dish_1557853429,330.2,3,"strawberries, eggs, yam",30.3,30.3,3.1,18.1,13.7,25.7,36.3,22.5
dish_1560543625,560.3,26,"chicken, ginger, tomatillo, brown rice, spinach (raw)",16.0,7.2,1.8,46.3,13.4,21.4,51.7,22.5
dish_1557862738,319.8,1,steak,15.6,43.7,6.2,23.4,20.4,39.0,6.2,22.1
dish_1560887435,364.5,5,"pizza, parmesan cheese, croutons, kale, caesar dressing",39.6,12.2,23.4,15.2,32.8,5.6,23.4,21.7
dish_1562615153,468.2,24,"goat cheese, thyme, garlic, parsley, lemon juice",25.2,21.0,,11.1,16.4,23.9,32.4,21.7
dish_1566934401,435.9,15,"chive, white beans, onions, bell peppers, fish",26.6,28.9,26.6,3.6,34.6,4.4,26.2,21.6
dish_1562788816,506.6,19,"cherry tomatoes, pork, corn on the cob, onions, parsley",30.9,36.8,30.9,17.1,24.0,2.3,8.6,21.5
dish_1561575506,562.0,12,"olive oil, onions, shallots, salt, roasted potatoes",37.7,43.1,,10.3,7.5,13.7,15.6,21.3
dish_1564168695,385.0,1,pepperoni,16.9,37.7,22.1,22.1,15.6,15.6,16.9,21.0
dish_1565711527,484.8,6,"salt, pepper, brussels sprouts, scrambled eggs, olive oil",27.8,44.3,,1.1,20.6,24.7,7.2,21.0
dish_1558723047,31.6,1,cantaloupe,36.7,33.6,7.5,4.4,13.9,20.9,29.7,21.0
dish_1558550218,230.0,3,"almonds, grapes, apple",30.4,8.7,,7.8,2.2,6.5,69.6,20.9
dish_1559844366,529.2,3,"almonds, broccoli, grapes",13.4,20.6,3.9,21.6,20.9,35.6,30.4,20.9
dish_1561575327,453.7,11,"olive oil, onions, roasted potatoes, bell peppers, salt",7.4,9.6,,14.6,14.6,13.5,65.3,20.8
dish_1558721434,99.9,4,"cherry tomatoes, carrot, cauliflower, cantaloupe",9.9,19.9,9.9,18.1,45.1,21.1,20.1,20.6
dish_1563568148,171.0,13,"garlic, shallots, chive, olive oil, parsley",28.7,0.6,28.7,8.2,8.2,6.4,63.7,20.6
dish_1558721726,74.4,1,apple,4.9,27.8,3.6,25.1,27.8,26.4,27.8,20.5
dish_1562787848,416.8,21,"cherry tomatoes, onions, pilaf, brown rice, lemon juice",16.0,35.2,16.0,3.2,0.8,16.4,55.9,20.5
dish_1563566810,392.3,12,"mustard, olive oil, cucumbers, cherry tomatoes, figs",10.8,31.2,36.3,0.6,27.4,10.9,22.4,19.9
dish_1558639526,32.0,1,carrot,28.2,21.8,28.2,31.3,6.3,12.4,9.4,19.7
dish_1563222800,302.3,17,"chicken breast, cherry tomatoes, pork, spinach (raw), pepperoni pizza",27.2,27.2,15.8,5.7,27.3,1.8,32.3,19.6
dish_1559846528,322.7,3,"pears, broccoli, almonds",13.2,19.4,,17.9,11.7,15.1,39.4,19.4
dish_1562700760,370.1,11,"beef, cauliflower, shallots, spinach (cooked), olive oil",24.4,40.6,,5.4,4.0,12.1,29.7,19.4
dish_1565972715,657.5,13,"cucumbers, vinegar, green beans, scrambled eggs, pepper",31.6,27.0,20.9,11.8,20.9,21.7,1.1,19.3
dish_1558381819,22.1,1,tomatoes,18.6,27.6,18.6,0.5,22.2,18.6,27.6,19.1
dish_1566934487,553.0,18,"fish, white beans, cauliflower, garlic, parsley",42.1,15.0,18.6,24.1,30.4,2.2,0.5,19.0
dish_1564589072,419.3,3,"sweet potato, olive oil, chilaquiles",7.3,0.2,7.3,24.0,0.2,38.3,55.0,18.9
dish_1565638599,368.7,18,"parmesan cheese, arugula, white rice, garlic, parsley",5.1,13.2,5.1,13.9,41.0,12.6,41.0,18.8
dish_1567785778,303.5,14,"pineapple, bell peppers, berries, cucumbers, salt",5.4,27.5,,21.9,19.3,13.7,25.2,18.8
dish_1562702853,272.6,16,"spinach (cooked), olive oil, feta cheese, vinegar, cherry tomatoes",8.3,0.9,8.3,15.6,41.2,15.6,39.4,18.5
dish_1561749061,302.9,19,"garlic, salmon, pepper, arugula, brown rice",5.7,5.9,17.5,2.4,5.7,43.6,48.6,18.5
dish_1566328961,605.8,17,"bell peppers, shallots, garlic, jalapenos, spinach (raw)",42.2,30.7,1.0,0.7,14.2,31.5,9.2,18.5
dish_1563909580,544.3,12,"mustard greens, cucumbers, tomatoes, salt, mustard",17.3,13.7,17.3,4.5,47.6,7.5,19.4,18.2
dish_1562788760,331.3,17,"green onions, vinegar, pork, brown rice, lemon juice",33.6,36.6,5.6,6.4,16.2,14.0,14.7,18.2
dish_1561576978,511.6,28,"shallots, walnuts, oregano, chicken, arugula",1.6,1.6,7.5,21.2,6.2,22.2,66.1,18.1
dish_1558719570,74.4,1,apple,7.6,27.8,3.6,4.9,27.8,26.4,26.4,17.8
dish_1563304333,451.2,15,"croutons, salt, chicken, spinach (raw), parsley",11.4,24.7,,37.4,6.9,3.1,21.9,17.6
dish_1561748950,197.3,8,"salt, olive oil, thyme, honeydew melons, brown rice",8.7,13.8,8.7,49.6,11.5,12.3,16.6,17.3
dish_1564432238,455.4,22,"cherry tomatoes, cauliflower, lime, mayonnaise, jalapenos",1.2,7.8,1.2,36.1,14.2,24.1,36.1,17.2
dish_1565721855,479.0,13,"zucchini, chayote squash, spinach (raw), chicken, wheat berry",12.3,43.6,12.3,0.2,12.3,3.3,35.7,17.1
dish_1559233102,183.5,1,scrambled eggs,25.3,14.4,14.4,19.9,0.8,17.2,25.3,16.8
dish_1558725253,34.0,1,broccoli,3.1,17.5,3.1,20.8,53.2,3.1,,16.8
dish_1565119439,465.4,10,"vinegar, millet, bok choy, beef, cheese pizza",24.8,26.9,3.3,20.3,11.9,10.8,18.2,16.6
dish_1562698239,407.6,10,"beef, salt, olive oil, spinach (cooked), shallots",21.5,33.8,14.1,20.2,19.0,4.3,1.9,16.4
dish_1560360030,193.9,1,scrambled eggs,7.2,12.3,8.3,8.3,47.0,1.6,28.9,16.2
dish_1562963006,259.1,12,"cilantro, tomatillo, quinoa, fish, arugula",8.1,23.5,23.5,2.3,31.2,17.0,8.1,16.2
dish_1568664972,303.4,15,"vinegar, garlic, jalapenos, bell peppers, mustard",7.7,30.8,5.5,7.7,26.9,7.1,25.2,15.8
dish_1565036821,325.5,14,"soy sauce, salt, vinegar, olive oil, beef",7.5,10.9,1.7,32.1,18.3,30.9,7.5,15.6
dish_1566938059,463.2,14,"shallots, wine, salt, cheese pizza, lemon juice",13.7,1.5,12.3,12.3,1.8,4.7,61.9,15.5
dish_1559848882,143.1,2,"mandarin oranges, pears",4.8,23.1,16.1,21.7,15.3,10.5,16.1,15.4
dish_1561146781,300.1,2,"bagels, apple",16.6,6.6,6.6,23.3,39.4,0.6,13.3,15.2
dish_1563564828,452.2,25,"lemon juice, cherry tomatoes, fish, eggs, olive oil",0.5,24.8,0.5,15.0,15.0,7.2,43.7,15.2
dish_1562945445,362.2,8,"sweet potato, broccoli, greek yogurt, egg whites, milk",22.7,28.2,3.4,2.2,6.3,14.6,24.3,14.5
dish_1565117962,379.9,3,"chicken breast, bell peppers, tuna",15.8,25.0,5.3,7.9,25.0,21.6,0.0,14.4
dish_1563565508,403.9,31,"ground turkey, vinegar, celery, onions, parmesan cheese",30.7,33.1,,4.0,4.0,2.8,11.4,14.3
dish_1557853229,195.9,1,eggs,28.5,12.3,7.2,12.3,25.0,5.6,8.1,14.1
dish_1567542953,542.5,20,"beef, chili, white rice, pineapple, soy sauce",22.6,13.4,4.1,14.3,10.6,13.4,19.8,14.0
dish_1558380527,386.0,1,sausage,22.3,4.1,16.6,4.9,20.5,1.5,16.6,12.4
dish_1558468632,169.9,1,chicken,16.5,22.3,2.9,2.9,2.9,22.3,16.5,12.3
dish_1563897981,243.5,2,"scrambled eggs, bacon",26.1,13.8,,5.6,17.0,7.6,2.7,12.1
dish_1558373008,251.6,1,sausage,11.3,0.6,10.1,32.4,15.3,12.5,0.6,11.8
dish_1558638844,80.1,1,apple,2.6,18.6,3.8,3.6,18.6,17.4,17.4,11.7
dish_1558722398,83.7,1,apple,6.8,13.5,8.0,0.9,13.5,12.3,12.3,9.6
dish_1560801020,346.3,16,"cauliflower, garlic, spinach (raw), parmesan cheese, wheat berry",1.1,22.0,1.1,6.8,11.2,14.0,9.7,9.4
dish_1558724766,83.7,1,apple,4.4,13.5,8.0,0.9,13.5,12.3,12.3,9.3
dish_1558722207,83.2,1,apple,3.8,14.2,7.5,0.2,11.8,13.0,14.2,9.2
