dish_id,gt_kcal,gt_ingr_count,gt_ingr,gpt-4.1-mini__kcal_est,gpt-4.1-mini__pct_err,gpt-4.1-mini__dish_ru,gpt-4.1__kcal_est,gpt-4.1__pct_err,gpt-4.1__dish_ru,gpt-4o__kcal_est,gpt-4o__pct_err,gpt-4o__dish_ru,claude-sonnet-4-6__kcal_est,claude-sonnet-4-6__pct_err,claude-sonnet-4-6__dish_ru,claude-haiku-4-5__kcal_est,claude-haiku-4-5__pct_err,claude-haiku-4-5__dish_ru,gemini-2.5-pro__kcal_est,gemini-2.5-pro__pct_err,gemini-2.5-pro__dish_ru,gemini-2.5-flash__kcal_est,gemini-2.5-flash__pct_err,gemini-2.5-flash__dish_ru
dish_1560357267,566.8,1,scrambled eggs,250.0,55.9,яичница-болтунья с овощным соусом,370.0,34.7,"Яичница-болтунья с подливой (возможно, мясной или овощной соус)",320.0,43.5,Яичница-болтунья с соусом,410.0,27.7,Яичница-болтунья с тушёным мясом,285.0,49.7,Картофельное пюре с курицей и грибами,205.0,63.8,Скрэмбл с зеленым соусом,280.0,50.6,Яичница-скрэмбл с зеленым соусом
dish_1560357832,181.4,10,"mustard, waffles, vinegar, cucumbers, spinach (raw)",320.0,76.5,вафли с зелёным салатом,320.0,76.5,Вафли с миксом зелёного салата и заправкой,350.0,93.0,Вафли с салатом,430.0,137.1,Вафли с салатом из молодой зелени,385.0,112.3,Вафли с зеленым салатом,315.0,73.7,Бельгийская вафля с салатом из зелени и ягод,350.0,93.0,Вафли с миксом салата и ягодами
dish_1560360030,193.9,1,scrambled eggs,180.0,7.2,омлет с крабовыми палочками,170.0,12.3,Яичница-болтунья с морковью,210.0,8.3,Яичница-болтунья,210.0,8.3,Яичница-болтунья (scrambled eggs),285.0,47.0,Яичница с овощами,197.0,1.6,Яичница-болтунья (скрэмбл),250.0,28.9,Яичница-скрэмбл с сыром
dish_1560367193,131.0,12,"onions, olive oil, salt, honeydew melons, green onions",120.0,8.4,Овощное блюдо с грибами и киноа,140.0,6.8,Овощи с курицей и грибным соусом,250.0,90.8,Овощи с курицей и грибами,245.0,87.0,"Овощной микс с грибами, спаржей и яичницей",285.0,117.5,Говядина с овощами и картофелем,365.0,178.5,"Жареный лосось с грибами, спаржей и овощами",350.0,167.1,Курица с грибами и овощами
dish_1560367296,184.4,21,"beets, mustard, tofu, vinegar, fish",280.0,51.9,"Запечённая рыба с грибами, спаржей и салатом",170.0,7.8,Овощной салат с жареными грибами и спаржей,250.0,35.6,Овощной салат с грибами и спаржей,260.0,41.0,"Овощной микс с грибами, спаржей, запечёнными овощами и зеленью",520.0,182.0,Стейк с овощами и зеленью,380.0,106.1,Овощное рагу со спаржей и грибами,320.0,73.6,"Блюдо с грибами, тофу, спаржей и микс-салатом"
dish_1560368019,437.0,11,"pizza, salt, green onions, onions, olive oil",450.0,3.0,"Салат со шпинатом и спаржей, жареные баклажаны, куриное филе и кусочек пиццы с овощами",520.0,19.0,"Куриные крылышки с овощами, пиццей и свежим шпинатом",550.0,25.9,"Салат со шпинатом, куриными крылышками, овощами и пиццей",520.0,19.0,"Смешанная тарелка: пицца, курица в соусе, жареные баклажаны и листовой салат",345.0,21.0,"Блюдо с курицей, овощами и зеленью",685.0,56.8,"Смешанная тарелка с пиццей, куриными крылышками и салатом",850.0,94.5,"Сборное блюдо: пицца, куриные крылышки, баклажаны, шпинат и стручковая фасоль"
dish_1560369122,92.1,10,"garlic, asparagus, salt, mustard, olive oil",40.0,56.5,Салат из спаржи и листьев салата с огурцом,65.0,29.4,"Салат с зелёной спаржей, листьями салата и отварным картофелем",,,,105.0,14.1,"Зелёный салат со спаржей, огурцом и вялеными томатами",142.0,54.2,Салат овощной с зеленью и картофелем,55.0,40.3,Овощной салат со спаржей и огурцом,40.0,56.5,"Салат из спаржи, микс-салата и огурца"
dish_1560442226,83.8,1,berries,25.0,70.2,Свежие ягоды ассорти,25.0,70.2,Ассорти из свежих ягод,45.0,46.3,Смесь свежих ягод,58.0,30.8,Свежие ягоды ассорти,130.0,55.1,Йогурт с ягодами,46.0,45.1,Ассорти из свежих ягод,75.0,10.5,Смесь ягод
dish_1560443537,237.6,3,"berries, pineapple, grapes",90.0,62.1,Фруктовый салат,90.0,62.1,"Фруктовый салат из ананаса, клубники, малины, черники, ежевики и винограда",110.0,53.7,Фруктово-ягодный салат,155.0,34.8,Фруктово-ягодный салат,155.0,34.8,Фруктовая тарелка с ягодами и дыней,145.0,39.0,Фруктовый салат,150.0,36.9,Фруктовый салат
dish_1560444592,244.4,2,"scrambled eggs, yam",220.0,10.0,яичница-болтунья с жареным картофелем,220.0,10.0,Яичница-болтунья с жареным бататом,280.0,14.6,Яичница-болтунья с жареным бататом,390.0,59.6,Яичница-болтунья с жареными сосисками,510.0,108.7,Макаронник с овощами и колбасой,285.0,16.6,Скрэмбл с жареным бататом,350.0,43.2,Яичница-скрэмбл с жареным бататом
dish_1560444724,113.3,2,"watermelon, honeydew melons",45.0,60.3,нарезанные кубиками арбуз и дыня,48.0,57.6,Фруктовая нарезка: арбуз и дыня,60.0,47.0,Фруктовый салат из арбуза и дыни,75.0,33.8,Нарезанные арбуз и дыня,82.0,27.6,Нарезанные фрукты: дыня и арбуз,48.0,57.6,Фруктовая тарелка с арбузом и дыней,60.0,47.0,Фруктовая нарезка (арбуз и дыня)
dish_1560444985,198.9,14,"honeydew melons, pineapple, radishes, bok choy, vinegar",160.0,19.6,"Овощи с жареной тыквой, скрэмбл и свежие фрукты",110.0,44.7,"Овощи, фрукты и яичница-болтунья",180.0,9.5,"Овощи, фрукты и яичница",220.0,10.6,"Завтрак: яичница-болтунья, фрукты и овощной салат",385.0,93.5,Овощное ассорти с картофелем фри,285.0,43.3,"Завтрак с омлетом, овощами и фруктами",300.0,50.8,"Завтрак с яичницей, фруктами и овощами"
dish_1560453356,389.1,19,"chicken, brown rice, thyme, olive oil, basil",280.0,28.0,Куриная грудка с овощами и помидорами черри,210.0,46.0,"Куриная грудка с кимчи, запечёнными овощами и черри",,,,310.0,20.3,"Рисовая котлета с кимчи, жареными кабачками и черри томатами",285.0,26.7,Куриное филе с овощами гриль,315.0,19.0,Запеченная рыба с помидорами черри и кимчи,480.0,23.4,"Куриная котлета с киноа, кимчи, запеченными кабачками и помидорами черри"
dish_1560455030,20.6,3,"cherry tomatoes, cucumbers, baby carrots",30.0,45.7,салат из свежих овощей,25.0,21.4,"Овощной салат (морковь, огурец, черри)",35.0,70.0,Салат из свежих овощей,55.0,167.1,"Овощная нарезка (морковь, огурец, черри)",68.0,230.3,Овощная нарезка,26.0,26.3,Овощной салат,45.0,118.6,"Овощной салат (морковь, огурцы, томаты черри)"
dish_1560455380,61.0,10,"vinegar, almonds, olive oil, carrot, salt",50.0,18.0,Салат из листьев салата с морковью и заправкой,15.0,75.4,Салат из листовой зелени с морковью,50.0,18.0,Салат из зелени с морковью,85.0,39.4,Зелёный салат с морковью и свёклой,35.0,42.6,Салат из смешанной зелени с морковью,45.0,26.2,Зеленый салат с морковью,25.0,59.0,Салат из микса зелени с морковью
dish_1560456370,258.4,23,"green beans, garlic, zucchini, lemon juice, pumpkin seeds",350.0,35.5,"Куриная ножка с рисом, зелёной фасолью и рукколой",285.0,10.3,"Куриная ножка с гарниром из риса, стручковой фасоли и рукколы",350.0,35.5,"Куриная ножка с рисом, стручковой фасолью и рукколой",420.0,62.5,"Запечённое куриное бедро с варёным рисом, стручковой фасолью и рукколой",385.0,49.0,"Курица с картофельным пюре, зеленой фасолью и руколой",425.0,64.5,"Запеченная куриная ножка с рисом, стручковой фасолью и рукколой",480.0,85.8,"Куриная ножка с рисом, стручковой фасолью и рукколой"
dish_1560526490,141.7,15,"parsley, cucumbers, blueberries, mustard greens, almonds",90.0,36.5,Салат с ягодами и ананасом,45.0,68.2,"Салат с миксом зелени, шпинатом, клубникой и ананасом",,,,85.0,40.0,"Фруктово-овощной салат со шпинатом, клубникой и ананасом",245.0,72.9,Салат с овощами и сыром,155.0,9.4,Фруктовый салат с зеленью,80.0,43.5,Фруктово-овощной салат
dish_1560529844,91.7,3,"berries, sweet potato, watermelon",110.0,20.0,Фруктовая тарелка с жареным бананом,65.0,29.1,Фрукты и ягоды с запечённым картофелем,180.0,96.3,Фрукты и жареный картофель,115.0,25.4,Фруктовая тарелка с ягодами и кусочками ананаса,235.0,156.3,Ассорти из фруктов и печенья,125.0,36.3,Запеченный картофель с ягодами и арбузом,240.0,161.8,Запеченный картофель с ягодами и арбузом
dish_1560543525,83.4,3,"olives, tomatoes, caesar salad",150.0,79.8,Салат Цезарь с помидорами черри и оливками,110.0,31.8,"Салат с курицей, черри и оливками",120.0,43.8,"Салат с тунцом, помидорами черри и оливками",320.0,283.6,"Салат с курицей, листьями салата, черри, оливками и семечками",185.0,121.7,"Салат с курицей, помидорами и маслинами",245.0,193.7,Салат Цезарь с помидорами черри и оливками,280.0,235.6,"Салат с курицей, помидорами черри, оливками и рисом"
dish_1560543625,560.3,26,"chicken, ginger, tomatillo, brown rice, spinach (raw)",650.0,16.0,"Салат Цезарь с курицей, запечённый картофель, виноград, помидоры черри, рис с овощами, куриные крылышки в соусе барбекю",520.0,7.2,"Куриная ножка с гарниром (рис, картофель, овощи), салат Цезарь, свежие помидоры черри, оливки",550.0,1.8,"Ассорти с курицей, салатом, рисом и овощами",820.0,46.3,"Комплексная тарелка: жареные куриные крылышки в соусе, бурый рис с овощами, салат с тунцом и оливками, черри и картофель",485.0,13.4,"Комбинированное блюдо с курицей, рисом и овощами",680.0,21.4,"Сборная тарелка с курицей, рисом и салатом",850.0,51.7,"Сборная тарелка с курицей, рисом, салатом и овощами"
dish_1560800951,102.8,9,"parsley, cauliflower, kale, lemon juice, olive oil",70.0,31.9,Цветная капуста с зелёным салатом,55.0,46.5,Салат из листовой зелени с отварной цветной капустой,70.0,31.9,Салат с зеленью и цветной капустой,145.0,41.0,Салат из молодой зелени со свёклой и варёная цветная капуста,280.0,172.3,Салат с картофелем и овощами,155.0,50.7,"Салат с цветной капустой, свеклой и зеленью",200.0,94.5,"Салат с цветной капустой, зеленью и булгуром"
dish_1560801020,346.3,16,"cauliflower, garlic, spinach (raw), parmesan cheese, wheat berry",350.0,1.1,"Салат с курицей, цветной капустой и гречкой",270.0,22.0,"Гречка с курицей, цветной капустой и салатом из листовой зелени",350.0,1.1,"Салат с гречкой, курицей, цветной капустой и зеленью",370.0,6.8,"Тарелка с гречкой, цветной капустой, куриным филе, баклажаном и салатом из шпината",385.0,11.2,"Мясное блюдо с гарниром из картофельного пюре, киноа и овощами",395.0,14.0,"Салат с курицей, цветной капустой и пшеничной крупой",380.0,9.7,"Салат с курицей, цветной капустой, гречкой и зеленью"
dish_1560802562,8.9,8,"olive oil, lemon juice, bulgur, salt, kale",3.0,66.1,Салат из рукколы,2.0,77.4,руккола на тарелке,5.0,43.5,Салат из рукколы,4.0,54.8,Руккола (остатки на тарелке),12.0,35.5,Микс зелени и свежих овощей,47.0,430.9,Салат из рукколы,5.0,43.5,Руккола
dish_1560887435,364.5,5,"pizza, parmesan cheese, croutons, kale, caesar dressing",220.0,39.6,запеканка с овощами и салат из капусты кейл,320.0,12.2,"Лазанья с сыром и томатным соусом, салат из капусты кейл с соусом, кусочки жареного тофу",450.0,23.4,Лазанья с салатом из капусты кейл,420.0,15.2,Лазанья с томатным соусом и тушёная капуста кейл,245.0,32.8,Запечённый тофу с кейлом,385.0,5.6,Запеканка из пасты с салатом из кейла,450.0,23.4,Лазанья с капустой кейл и тофу
dish_1560961385,249.5,4,"sweet potato, scrambled eggs, strawberries, broccoli",180.0,27.9,"яичница с брокколи, баклажанами и клубникой",180.0,27.9,Овощное ассорти с яичницей и клубникой,180.0,27.9,Овощи с омлетом и клубникой,380.0,52.3,"Завтрак: скрэмбл с тофу, баклажан, брокколи, авокадо и клубника",285.0,14.2,"Салат с креветками, овощами гриль и зеленью",385.0,54.3,"Скрэмбл с тофу, брокколи, запеченным картофелем и клубникой",480.0,92.4,"Завтрак с яичницей, брокколи, жареным картофелем, тофу и клубникой"
dish_1561060477,141.0,2,"pineapple, cheese pizza",220.0,56.0,Пицца с ананасами,220.0,56.0,Лазанья с ананасом,250.0,77.3,Запеканка с сыром и ананас,260.0,84.4,Кусочек пиццы с томатным соусом и сыром + кусочки ананаса,235.0,66.6,Рыба в томатном соусе с картофелем,200.0,41.8,Кусочек пиццы с ананасом,220.0,56.0,Кусочек пиццы и ананас
dish_1561060642,468.4,26,"jalapenos, brown rice, salt, bok choy, lemon juice",450.0,3.9,"ассорти из овощей, пасты, пиццы и рыбы",420.0,10.3,"Ассорти из овощей, пасты, пиццы и запеканки",450.0,3.9,"Ассорти из овощей, пасты, ананаса и запеканки",520.0,11.0,Шведский стол / ассорти блюд азиатской кухни,580.0,23.8,Ассорти мясных блюд с картофелем и овощами,685.0,46.2,Сборная тарелка (шведский стол),750.0,60.1,"Сборная тарелка с пастой, рыбой, тофу, овощами, ананасом и пиццей"
dish_1561060925,93.9,5,"brussels sprouts, salt, tofu, pepper, olive oil",120.0,27.8,Жареная брюссельская капуста с овощным салатом,85.0,9.5,Жареная брюссельская капуста с овощным салатом,120.0,27.8,Жареная брюссельская капуста с овощным салатом,195.0,107.6,Жареная брюссельская капуста со стручковой фасолью и овощами,145.0,54.4,Овощное ассорти с жареными овощами,215.0,128.9,Запеченная брюссельская капуста с салатом из стручковой фасоли и чечевицы,320.0,240.7,"Жареная брюссельская капуста с салатом из стручковой фасоли, тофу и чечевицы"
dish_1561062555,47.1,11,"apple, shallots, salt, bulgur, olive oil",15.0,68.1,Салат из зелени с ягодами,13.0,72.4,"Салат с рукколой, черникой и ягодами годжи",15.0,68.1,"Салат с рукколой, ягодами и оливками",38.0,19.3,Салат из рукколы с оливками и вялеными томатами,95.0,101.7,Салат из рукколы с помидорами и маслинами,25.0,46.9,"Салат с рукколой, ягодами годжи и оливками",35.0,25.7,Салат из рукколы с ягодами годжи и черникой
dish_1561146781,300.1,2,"bagels, apple",350.0,16.6,булочка и яблоко,320.0,6.6,Булочка с начинкой и яблоко,320.0,6.6,Булочка с яблоком,370.0,23.3,Булочка и яблоко,182.0,39.4,Два яблока,302.0,0.6,Бейгл с яблоком,340.0,13.3,Бейгл и яблоко
dish_1561405389,266.0,18,"white rice, chickpeas, soy sauce, arugula, ginger",220.0,17.3,Куриная грудка с брокколи и рукколой,220.0,17.3,"Курица с ореховым соусом, брокколи и салатом из рукколы и нута",220.0,17.3,"Курица с соусом, брокколи и салатом",360.0,35.3,"Куриная грудка с салатом из рукколы, нутом и брокколи",285.0,7.1,Слайсированная утка с зеленым салатом и овощами,345.0,29.7,Куриная грудка с салатом из рукколы и брокколи,380.0,42.9,"Курица с рукколой, нутом и брокколи"
dish_1561407312,127.8,20,"chicken, white rice, onions, pepper, couscous",320.0,150.3,"Тарелка с кусочком мяса, булгуром, морковью и салатом",230.0,79.9,"Кус-кус с курицей, морковью и салатом",350.0,173.8,"Тарелка с гарниром, салатом и мясом",420.0,228.6,"Тарелка с рисом, тушёной морковью, мясными рёбрышками, чечевицей и зелёным салатом с оливками",445.0,248.1,"Блюдо с курицей, рисом и овощами",365.0,185.5,"Кускус с курицей, тушеной морковью и салатом",450.0,252.0,"Кускус с овощами, курицей и салатом"
dish_1561480439,155.2,3,"turkey bacon, pineapple, berries",140.0,9.8,Ассорти из ягод и ананаса с полоской говяжьего стейка,110.0,29.1,Ягоды с ананасом и ломтиком говядины,120.0,22.7,Фрукты с ломтиком мяса,175.0,12.8,Фруктово-ягодная тарелка с шоколадом,285.0,83.7,Фруктовая тарелка с ягодами и шоколадом,195.0,25.7,Фруктовая тарелка с беконом,160.0,3.1,Фруктово-ягодная тарелка с мясными чипсами
dish_1561575274,305.2,9,"olive oil, onions, salt, shallots, spinach (cooked)",320.0,4.9,Куски мяса с рисом и зеленью,340.0,11.4,Фаршированные мясные рулеты с рисом и зеленью,350.0,14.7,Мясо с рисом и зеленью,520.0,70.4,Жареный рис с мясом и зеленью,420.0,37.6,Котлеты мясные с зеленью,325.0,6.5,Жареная свинина с рисом и травами,350.0,14.7,Мясо с рисом и зеленью
dish_1561575327,453.7,11,"olive oil, onions, roasted potatoes, bell peppers, salt",420.0,7.4,Фаршированные мясные рулеты с запечённым картофелем и свежим болгарским перцем,410.0,9.6,Тушёная говядина с зелёным перцем и запечённым картофелем,,,,520.0,14.6,Тушёное мясо с жареным картофелем и маринованным огурцом,520.0,14.6,Говяжья котлета с картофелем и болгарским перцем,515.0,13.5,"Жареная свинина с рисом, запеченным картофелем и свежим перцем",750.0,65.3,"Свинина с рисом, жареный картофель и зеленый перец"
dish_1561575474,120.1,5,"salt, eggplant, roasted potatoes, cauliflower, olive oil",140.0,16.6,"цветная капуста с жареными баклажанами, картофелем и кусочком колбасы",55.0,54.2,Овощи на пару и запечённые овощи,110.0,8.4,Овощное ассорти,320.0,166.5,Жареный картофель с цветной капустой и мидиями,285.0,137.4,Картофель с овощами гриль,85.0,29.2,Остатки запеченных овощей,220.0,83.2,Овощное рагу с картофелем и баклажанами
dish_1561575506,562.0,12,"olive oil, onions, shallots, salt, roasted potatoes",350.0,37.7,"Стейк с цветной капустой, жареным баклажаном и картофелем",320.0,43.1,"Говядина с овощами (цветная капуста, баклажан, картофель)",,,,620.0,10.3,Жареная баранина с запечёнными овощами и картофелем,520.0,7.5,Стейк с картофелем и овощами гриль,485.0,13.7,Говядина с запеченными овощами,650.0,15.6,"Стейк с рисом, картофелем, баклажанами и цветной капустой"
dish_1561576295,249.1,9,"onions, cucumbers, lettuce, bell peppers, roasted potatoes",220.0,11.7,Салат с картофелем и фасолью,210.0,15.7,"Салат с зеленью, жареным картофелем и маслинами",200.0,19.7,"Салат с зеленью, картофелем и оливками",380.0,52.6,"Салат из зелёных листьев с оливками, сухариками и сыром фета",245.0,1.6,Салат с крутонами и красным виноградом,345.0,38.5,Салат с запеченным картофелем и оливками,450.0,80.7,"Салат с миксом зелени, фетой, оливками и запеченным картофелем"
dish_1561576978,511.6,28,"shallots, walnuts, oregano, chicken, arugula",520.0,1.6,"Салат с курицей, жареные баклажаны и мясо",520.0,1.6,"Тарелка с жареным мясом, картофельным салатом, зелёным салатом и жареными баклажанами",550.0,7.5,"Мясо с салатом, картофельным салатом и жареными баклажанами",620.0,21.2,Мясное ассорти с салатом из курицы и зеленью,480.0,6.2,"Салат с курицей, беконом и овощами",625.0,22.2,"Смешанная тарелка с мясным рулетом, картофельным салатом, рукколой и баклажанами",850.0,66.1,"Сборное блюдо: мясной рулет с рисом, картофельный салат, салат из рукколы, жареные баклажаны"
dish_1561578373,164.5,10,"cheese pizza, bell peppers, caesar salad, lettuce, cucumbers",320.0,94.5,кусок пиццы с салатом Цезарь и зелёным салатом,290.0,76.3,"Кусок пиццы с сыром, салат Цезарь с курицей, микс зелёного салата с овощами",400.0,143.2,Пицца с салатом,390.0,137.1,Кусок пиццы с двумя видами салата (Цезарь и греческий),285.0,73.3,Лосось на гриле с салатом из зелени,435.0,164.4,Кусок пиццы с двумя видами салата,550.0,234.4,Пицца Маргарита и два салата
dish_1561661377,306.3,14,"garlic, chard, brown rice, green beans, chicken",350.0,14.3,Куриная котлета с салатом Цезарь и спаржей,340.0,11.0,Куриная грудка с зелёной фасолью и салатом Цезарь,350.0,14.3,Куриное филе с зеленой фасолью и салатом Цезарь,420.0,37.1,"Запечённая рыба/курица с хрустящей корочкой, жареная спаржа и салат из пекинской капусты",420.0,37.1,Куриная котлета с зелёной фасолью и картофельным пюре,480.0,56.7,Рыба в панировке с зеленой фасолью и салатом Цезарь,450.0,46.9,Рыба в панировке с зеленой фасолью и салатом Цезарь
dish_1561662532,166.5,13,"tofu, onions, cucumbers, salt, lettuce",180.0,8.1,Овощное блюдо с тофу,170.0,2.1,Овощной салат с тофу и кукурузой,180.0,8.1,Овощи с тофу,230.0,38.2,Тофу с овощами гриль,185.0,11.1,Гарнир из овощей с картофелем и зеленью,245.0,47.2,Салат с тофу и овощами гриль,380.0,128.3,"Салат с тофу, овощами и кукурузой"
dish_1561663786,46.7,1,corn on the cob,22.0,52.9,кусок вареной кукурузы,15.0,67.9,Кусочек варёной кукурузы,12.0,74.3,Кусочек варёной кукурузы,33.0,29.3,Кусочек варёной кукурузы (поперечный срез),52.0,11.4,Ломтик вареной кукурузы,29.0,37.9,Кусочек вареной кукурузы,29.0,37.9,Кусочек вареной кукурузы
dish_1561666619,35.9,1,grapes,34.0,5.2,виноград,12.0,66.6,черри томаты на тарелке,18.0,49.8,Черри томаты,27.0,24.7,Черри-томаты тёмных сортов,105.0,192.6,Красный виноград,48.0,33.8,Красный виноград,48.0,33.8,Красный виноград
dish_1561666640,48.8,2,"cantaloupe, grapes",50.0,2.5,Фрукты (виноград и дыня),32.0,34.4,Виноград и дыня на тарелке,70.0,43.4,Фрукты на тарелке,62.0,27.0,Черри-томаты и кубики дыни,260.0,432.8,Фруктовая нарезка,59.0,20.9,Фруктовая тарелка (виноград и дыня),90.0,84.4,Фруктовая тарелка: виноград и дыня
dish_1561737223,503.8,3,"sausage, broccoli, egg whites",320.0,36.5,творог с жареными колбасками и брокколи,210.0,58.3,Яичные белки с брокколи и колбасками,220.0,56.3,Яичница с сосисками и брокколи,490.0,2.7,Картофельное пюре с жареными колбасками и брокколи,385.0,23.6,Картофельное пюре с колбасой и овощами,425.0,15.6,Жареные сосиски с яичницей-скрэмбл и брокколи,550.0,9.2,Сосиски с брокколи и картофельным пюре
dish_1561737271,762.4,5,"sausage, hash browns, pineapple, broccoli, egg whites",450.0,41.0,"яичница, жареная колбаса, ананас, брокколи, рис с грибами",340.0,55.4,"Омлет из яичных белков с рисом, ананасом, брокколи и колбасками",450.0,41.0,"Ассорти с сосисками, ананасом, брокколи, рисом и яичницей",610.0,20.0,"Смешанная тарелка: рис с луком, яйца, ананас, сосиски/колбаски, брокколи",480.0,37.0,Мясное блюдо с овощами и гарниром,545.0,28.5,"Ассорти с сосисками, рисом, брокколи, ананасом и яичницей-скрэмбл",580.0,23.9,"Сборное блюдо с рисом, броколли, ананасом, сосисками и яичным белком"
dish_1561741174,245.8,2,"scrambled eggs, bacon",350.0,42.4,яичница-болтунья с беконом,340.0,38.3,Яичница-болтунья с жареным беконом,250.0,1.7,Яичница-болтунья с беконом,370.0,50.5,Яичница-болтунья с беконом,485.0,97.3,Яичница-болтунья с беконом и картофельным пюре,305.0,24.1,Яичница-болтунья с беконом,450.0,83.0,Яичница-скрэмбл с беконом
dish_1561748950,197.3,8,"salt, olive oil, thyme, honeydew melons, brown rice",180.0,8.7,Запечённый лосось с дыней,170.0,13.8,Запечённый лосось с дыней,180.0,8.7,Запечённый лосось с кусочками дыни,295.0,49.6,Кусок пиццы и нарезанное яблоко,220.0,11.5,Рыба с картофелем,173.0,12.3,Запеченный лосось с дыней,230.0,16.6,Запеченный лосось с кунжутом и огурцом
dish_1561749061,302.9,19,"garlic, salmon, pepper, arugula, brown rice",320.0,5.7,Запечённый лосось с салатом из зелени и огурцов,285.0,5.9,Салат с куриной грудкой и дыней,250.0,17.5,Салат с курицей и овощами,310.0,2.4,"Салат с запечённым лососем, зеленью, проростками и огурцом",320.0,5.7,Салат с жареной котлетой и овощами,435.0,43.6,Запеченный лосось с зеленым салатом,450.0,48.6,Лосось на гриле с микс-салатом и огурцом
dish_1561751958,381.2,8,"arugula, brown rice, squash, salmon, pepper",320.0,16.1,Лосось с овощами и коричневым рисом,220.0,42.3,Лосось с овощами и коричневым рисом,,,,520.0,36.4,Жареный лосось с бурым рисом и овощами,485.0,27.2,Утка с овощами и рисом,445.0,16.7,Запеченный лосось с овощами и бурым рисом,380.0,0.3,Лосось с овощами и бурым рисом
dish_1561753075,945.7,17,"garlic, salmon, chicken thighs, onions, olive oil",520.0,45.0,"Лазанья с салатом Цезарь, запечённым лососем и тушёными кабачками",520.0,45.0,"Лазанья с куриной котлетой, овощами и салатом Цезарь",550.0,41.8,Лазанья с салатом и овощами,720.0,23.9,"Комбинированная тарелка: лазанья, мясная котлета, салат Цезарь, тушёные овощи",485.0,48.7,Котлета мясная с картофелем и овощным салатом,625.0,33.9,"Запеченный лосось с овощами, салатом Цезарь и запеканкой",850.0,10.1,"Сборное блюдо: салат Цезарь, запеканка с сыром, запеченный лосось, тушеные кабачки и цукини"
dish_1561753238,298.0,14,"olive oil, arugula, brown rice, pepper, squash",320.0,7.4,Жареный лосось с овощами и салатом,260.0,12.8,Запечённый лосось с овощами и зелёным салатом,350.0,17.4,Лосось с овощами и салатом,320.0,7.4,Запечённый лосось с овощным салатом и кабачком,380.0,27.5,Мясной рулет с овощами и салатом,455.0,52.7,Запеченный лосось с салатом из рукколы и овощами,550.0,84.5,"Запеченный лосось с рукколой, помидорами черри и кабачком"
dish_1562008476,120.5,14,"olive oil, brussels sprouts, lemon juice, parsley, cucumbers",120.0,0.4,жареная брюссельская капуста с курицей и свежим огурцом,70.0,41.9,Тушёная брюссельская капуста с жареным мясом и ломтиками свежего огурца,,,,145.0,20.3,Брюссельская капуста с курицей и огурцом,185.0,53.5,Закуска с овощами и мясной нарезкой,108.0,10.4,Запеченная брюссельская капуста с тофу и свежим огурцом,180.0,49.4,Жареная брюссельская капуста с курицей и огурцом
dish_1562008738,64.1,10,"arugula, chard, vinegar, cauliflower, garlic",20.0,68.8,Салат из листового салата и цветной капусты,15.0,76.6,Салат из листьев салата и цветной капусты,25.0,61.0,Салат с цветной капустой,22.0,65.7,Салат из листового салата и цветной капусты,45.0,29.8,Салат с листовой зеленью и цветной капустой,20.0,68.8,Легкий салат с цветной капустой и ягодами,35.0,45.4,"Салат из листьев салата, цветной капусты и ежевики"
dish_1562008780,180.8,14,"goat cheese, vinegar, chard, blueberries, arugula",35.0,80.6,Салат из листового салата и цветной капусты,32.0,82.3,"Салат из брокколи, цветной капусты и листового салата",50.0,72.4,Салат с брокколи и цветной капустой,55.0,69.6,Зелёный салат с брокколи и цветной капустой,95.0,47.5,Салат из зеленых листьев с цветной капустой,115.0,36.4,Овощной салат с цветной капустой,45.0,75.1,Салат из свежей зелени с цветной капустой
dish_1562009182,306.2,20,"pepper, mustard, pecans, brussels sprouts, parsley",220.0,28.2,Салат с жареными овощами и рисом,320.0,4.5,"Салат с брюссельской капустой, зеленью, рисом и жареным мясом",350.0,14.3,"Салат с брюссельской капустой, рисом и мясом",420.0,37.2,"Салат с жареной брюссельской капустой, мясом и зеленью",285.0,6.9,Салат с жареными овощами и курицей,415.0,35.5,"Салат с жареной брюссельской капустой, рисом и тофу",450.0,46.9,"Салат с брюссельской капустой, зеленью, рисом и кусочками мяса/тофу"
dish_1562010369,141.2,12,"carrot, pepper, olive oil, wheat berry, pork",50.0,64.6,Жареная цветная капуста с приправами,45.0,68.1,Остатки мясного блюда с картофелем и капустой,,,,130.0,7.9,Мясные тефтели/котлеты с капустой (остатки на тарелке),185.0,31.1,Котлета мясная с гарниром,25.0,82.3,Остатки еды,50.0,64.6,Остатки мясного блюда с овощами
dish_1562010394,188.6,19,"pepper, garlic, cucumbers, lemon juice, parsley",90.0,52.3,Салат с курицей и зеленью,55.0,70.8,Салат с курицей и миксом зелёных листьев,,,,280.0,48.5,Салат из свежей зелени с мясной котлетой/биточком,165.0,12.5,Салат с морским ежом и микс-листьями,295.0,56.4,Мясная котлета с рисом и салатом из зелени,350.0,85.6,Мясная котлета с рисом и салатными листьями
